WJSpecID,Scientific,English,Inv,Vert,Scav,Fruits,Nectar,Seeds,PlantOther,Height_watbelowsurface,Height_wataroundsurface,Height_ground,Height_understory,Height_midhigh,Height_canopy,Height_aerial,Nocturnal_cat,PelagicSpecialist,log10SpecGenFinalMass,Diet_Breadth_Levin,Diet_breadthLevinsStanderdized,log_dietBreathLevin
5773,Poecilotriccus ruficeps,Rufous-crowned Tody-flycatcher,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0.944975908,1,1,0
5800,Poecilotriccus russatus,Ruddy Tody-flycatcher,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0.903089987,1,1,0
5799,Poecilotriccus senex,Buff-cheeked Tody-flycatcher,10,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0.84260924,1,1,0
5804,Poecilotriccus sylvia,Slate-headed Tody-flycatcher,10,0,0,0,0,0,0,0,0,0,3.33,3.33,3.33,0,0,0,0.851258349,1,1,0
9432,Poeoptera kenricki,Kenrick's Starling,0,0,0,10,0,0,0,0,0,0,0,6,4,0,0,0,1.666237096,1,1,0
9433,Poeoptera lugubris,Narrow-tailed Starling,2,0,0,8,0,0,0,0,0,0,0,0,10,0,0,0,1.58871978,1.470588235,0.921568627,-0.035472318
9431,Poeoptera stuhlmanni,Stuhlmann's Starling,0,0,0,10,0,0,0,0,0,0,0,6,4,0,0,0,1.59439255,1,1,0
12150,Poephila acuticauda,Long-tailed Finch,2,0,0,0,0,8,0,0,0,10,0,0,0,0,0,0,1.146128036,1.470588235,0.921568627,-0.035472318
12151,Poephila cincta,Black-throated Finch,2,0,0,0,0,8,0,0,0,10,0,0,0,0,0,0,1.173186268,1.470588235,0.921568627,-0.035472318
12149,Poephila personata,Masked Finch,2,0,0,0,0,8,0,0,0,10,0,0,0,0,0,0,1.113943352,1.470588235,0.921568627,-0.035472318
1119,Pogoniulus atroflavus,Red-rumped Tinkerbird,3,0,0,7,0,0,0,0,0,0,2,2,6,0,0,0,1.259832699,1.724137931,0.879310345,-0.055857817
1121,Pogoniulus bilineatus,Yellow-rumped Tinkerbird,3,0,0,7,0,0,0,0,0,0,0,8,2,0,0,0,1.117271296,1.724137931,0.879310345,-0.055857817
1124,Pogoniulus chrysoconus,Yellow-fronted Tinkerbird,4,0,0,6,0,0,0,0,0,0,3.33,3.33,3.33,0,0,0,1.033423755,1.923076923,0.846153846,-0.072550667
1116,Pogoniulus coryphaeus,Western Green-tinkerbird,4,0,0,6,0,0,0,0,0,0,2,8,0,0,0,0,1.029383778,1.923076923,0.846153846,-0.072550667
1117,Pogoniulus leucomystax,Moustached Green-tinkerbird,4,0,0,6,0,0,0,0,0,0,2,8,0,0,0,0,1.071882007,1.923076923,0.846153846,-0.072550667
19831,Pogoniulus makawai,White-chested Tinkerbird,3,0,0,7,0,0,0,0,0,0,0,8,2,0,0,0,1.117271296,1.724137931,0.879310345,-0.055857817
1125,Pogoniulus pusillus,Red-fronted Tinkerbird,4,0,0,6,0,0,0,0,0,0,2,5,3,0,0,0,0.982271233,1.923076923,0.846153846,-0.072550667
1115,Pogoniulus scolopaceus,Speckled Tinkerbird,5,0,0,5,0,0,0,0,0,0,2,4,4,0,0,0,1.148294097,2,0.833333333,-0.079181246
1118,Pogoniulus simplex,African Green-tinkerbird,3,0,0,7,0,0,0,0,0,0,5,5,0,0,0,0,0.944482672,1.724137931,0.879310345,-0.055857817
1120,Pogoniulus subsulphureus,Yellow-throated Tinkerbird,4,0,0,6,0,0,0,0,0,0,0,3,7,0,0,0,1.021189299,1.923076923,0.846153846,-0.072550667
9189,Pogonocichla stellata,White-starred Robin,7,2,0,1,0,0,0,0,0,3,4,2,1,0,0,0,1.269512944,1.851851852,0.858024691,-0.066500214
2105,Poicephalus crassus,Niam-niam Parrot,0,0,0,0,0,10,0,0,0,0,4,4,2,0,0,0,2.241172787,1,1,0
2109,Poicephalus cryptoxanthus,Brown-headed Parrot,0,0,0,3,0,4,3,0,0,0,2,6,2,0,0,0,2.146128036,2.941176471,0.676470588,-0.169751081
2107,Poicephalus flavifrons,Yellow-fronted Parrot,0,0,0,10,0,0,0,0,0,0,2,6,2,0,0,0,2.240549248,1,1,0
2103,Poicephalus gulielmi,Red-fronted Parrot,1,0,0,3,0,4,2,0,0,0,2,6,2,0,0,0,2.438684717,3.333333333,0.611111111,-0.21387982
2106,Poicephalus meyeri,Meyer's Parrot,1,0,0,3,0,3,3,0,0,0,2,6,2,0,0,0,2.069926969,3.571428571,0.571428571,-0.243038049
2098,Poicephalus robustus,Brown-necked Parrot,0,0,0,3,3,4,0,0,0,0,2,6,2,0,0,0,2.535306782,2.941176471,0.676470588,-0.169751081
2110,Poicephalus rueppellii,Rueppell's Parrot,1,0,0,2,2,2,3,0,0,0,3.33,3.33,3.33,0,0,0,2.064457989,4.545454545,0.409090909,-0.388180171
2108,Poicephalus rufiventris,Red-bellied Parrot,0,0,0,5,0,5,0,0,0,0,2,6,2,0,0,0,2.079181246,2,0.833333333,-0.079181246
2104,Poicephalus senegalus,Senegal Parrot,0,0,0,4,0,3,3,0,0,2,2,4,2,0,0,0,2.167317335,2.941176471,0.676470588,-0.169751081
